id,package,NC,A,I,D
235,org.apache.hadoop.hdfs.shortcircuit,8,0.00,0.28,0.72
236,org.apache.hadoop.hdfs.web.oauth2,8,0.25,0.89,0.14
237,org.apache.hadoop.io.serializer,8,0.50,0.36,0.14
238,org.apache.hadoop.mapred.nativetask.util,8,0.25,0.42,0.33
239,org.apache.hadoop.mapreduce.lib.partition,8,0.00,0.67,0.33
240,org.apache.hadoop.mapreduce.v2.api,8,0.88,0.21,0.08
241,org.apache.hadoop.mapreduce.v2.app,8,0.25,0.16,0.59
242,org.apache.hadoop.ozone.genesis,8,0.00,1.00,0.00
243,org.apache.hadoop.ozone.lease,8,0.00,0.12,0.88
244,org.apache.hadoop.ozone.protocolPB,8,0.12,0.50,0.38
245,org.apache.hadoop.ozone.web.netty,8,0.00,0.75,0.25
246,org.apache.hadoop.resourceestimator.skylinestore.exceptions,8,0.12,0.00,0.88
247,org.apache.hadoop.typedbytes,8,0.00,0.58,0.42
248,org.apache.hadoop.util.bloom,8,0.25,0.89,0.14
249,org.apache.hadoop.yarn.server.federation.policies.manager,8,0.25,0.80,0.05
250,org.apache.hadoop.yarn.server.federation.policies.router,8,0.25,0.47,0.28
251,org.apache.hadoop.yarn.server.nodemanager.amrmproxy,8,0.38,0.80,0.18
252,org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor,8,0.12,0.54,0.34
253,org.apache.hadoop.yarn.server.resourcemanager.nodelabels,8,0.12,0.13,0.74
254,org.apache.hadoop.yarn.server.sharedcachemanager,8,0.12,0.67,0.21
255,org.apache.hadoop.yarn.server.timelineservice.collector,8,0.12,0.50,0.38
256,org.apache.hadoop.yarn.service.component,8,0.12,0.40,0.47
257,org.apache.hadoop.yarn.service.monitor.probe,8,0.25,0.56,0.19
258,org.apache.hadoop.contrib.utils.join,7,0.71,1.00,0.71
259,org.apache.hadoop.fs.swift.http,7,0.00,0.56,0.44
260,org.apache.hadoop.fs.swift.snative,7,0.00,1.00,0.00
261,org.apache.hadoop.hdds.scm.container.placement.metrics,7,0.14,0.30,0.56
262,org.apache.hadoop.hdfs.client,7,0.14,0.13,0.73
263,org.apache.hadoop.hdfs.protocol.datatransfer.sasl,7,0.14,0.37,0.49
264,org.apache.hadoop.hdfs.server.diskbalancer.command,7,0.14,0.88,0.02
265,org.apache.hadoop.hdfs.server.federation.store.driver.impl,7,0.43,0.88,0.30
266,org.apache.hadoop.hdfs.server.federation.store.records.impl.pb,7,0.14,0.15,0.71
267,org.apache.hadoop.mapred.nativetask.buffer,7,0.29,0.44,0.28
268,org.apache.hadoop.mapred.nativetask.handlers,7,0.14,0.88,0.02
269,org.apache.hadoop.mapreduce.util,7,0.00,0.22,0.78
270,org.apache.hadoop.mapreduce.v2.app.commit,7,0.00,0.67,0.33
271,org.apache.hadoop.ozone.container.common.report,7,0.14,0.88,0.02
272,org.apache.hadoop.ozone.web.ozShell.bucket,7,0.00,0.88,0.12
273,org.apache.hadoop.registry.client.exceptions,7,0.00,0.35,0.65
274,org.apache.hadoop.security.alias,7,0.43,0.64,0.06
275,org.apache.hadoop.tools.mapred,7,0.00,0.64,0.36
276,org.apache.hadoop.tools.util,7,0.29,0.20,0.51
277,org.apache.hadoop.yarn.server.api.records,7,0.86,0.09,0.05
278,org.apache.hadoop.yarn.server.nodemanager.containermanager.resourceplugin.gpu,7,0.00,0.60,0.40
279,org.apache.hadoop.yarn.server.nodemanager.webapp.dao,7,0.00,0.27,0.73
280,org.apache.hadoop.yarn.server.nodemanager.webapp.dao.gpu,7,0.00,0.78,0.22
281,org.apache.hadoop.yarn.server.resourcemanager.scheduler.constraint.api,7,0.43,0.60,0.03
282,org.apache.hadoop.yarn.server.resourcemanager.scheduler.constraint.processor,7,0.29,0.78,0.06
283,org.apache.hadoop.yarn.server.router.clientrm,7,0.29,0.86,0.14
284,org.apache.hadoop.yarn.server.timelineservice.storage.application,7,0.00,0.64,0.36
285,org.apache.hadoop.yarn.server.timelineservice.storage.entity,7,0.00,0.58,0.42
286,org.apache.hadoop.yarn.server.timelineservice.storage.subapplication,7,0.00,0.70,0.30
